index,company_name,company_key,domain,company_careers_url,detected_ats,discovery_status,source_count,validated_source_count,polled_source_count,connectors,source_types,jobs_created_total,jobs_accepted_total,retained_live_total,last_successful_poll_at,from_csv_seed,sample_source_urls
8838,Contratan.do,contratando,contratan.do,https://contratan.do/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://contratan.do/careers | http://contratan.do/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8839,Credivalores-Crediservicios,credivalorescrediservicios,credivalores.com.co,https://credivalores.com.co/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://credivalores.com.co/careers | https://www.credivalores.com.co | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8840,Deitek Systems,deiteksystems,deitek.com,https://deitek.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://deitek.com/careers | http://www.deitek.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8841,Ecociclus,ecociclus,ecociclus.com,https://ecociclus.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://ecociclus.com/careers | http://www.ecociclus.com/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8842,Flores Y Mas,floresymas,floresymas.co,https://floresymas.co/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://floresymas.co/careers | http://floresymas.co/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8843,FLUVIP,fluvip,fluvip.com,https://fluvip.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://fluvip.com/careers | http://www.fluvip.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8844,Geelbe,geelbe,geelbe.com,https://geelbe.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://geelbe.com/careers | http://www.geelbe.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8845,Icanbesponsored,icanbesponsored,icanbesponsored.com,https://icanbesponsored.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://icanbesponsored.com/careers | http://www.icanbesponsored.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8846,Intern Latin America,internlatinamerica,theinterngroup.com,https://theinterngroup.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://theinterngroup.com/careers | http://www.theinterngroup.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8847,Jammcard,jammcard,jammcard.com,https://jammcard.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://jammcard.com/careers | http://www.jammcard.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
